Cipher,Family,ISO Standard,Block (bits),Key (bits),Full Rounds,Std-CASI Frontier,Std-CASI Margin %,Full-Round CASI,F8 t-stat,F8 All Broken,F8 Verdict
speck32_64,ARX-Feistel,ISO/IEC 29167-22,32,64,22,R5,77.3,0.9505,27.62,True,ALL BROKEN
speck64_128,ARX-Feistel,ISO/IEC 29167-22,64,128,27,R5,81.5,1.182,26.94,True,ALL BROKEN
speck128_256,ARX-Feistel,ISO/IEC 29167-22,128,256,34,R8,76.5,0.9239,40.4,True,ALL BROKEN
simon32_64,Feistel-LWC,ISO/IEC 29167-21,32,64,32,R9,71.9,0.8392,1.5,False,IMMUNE
simon64_128,Feistel-LWC,ISO/IEC 29167-21,64,128,44,R11,75.0,0.9544,1.37,False,IMMUNE
simon128_256,Feistel-LWC,ISO/IEC 29167-21,128,256,72,R16,77.8,0.8631,1.6,False,IMMUNE
present80,SPN-ultralight,ISO/IEC 29167-11,64,80,31,R7,77.4,1.2355,N/A,N/A,N/A
present128,SPN-ultralight,ISO/IEC 29167-11,64,128,31,R7,77.4,0.8422,N/A,N/A,N/A
ascon128,Sponge-LWC,NIST SP 800-232,320,128,12,CLEAN,100.0,1.5339,N/A,N/A,N/A
ascon128a,Sponge-LWC,NIST SP 800-232,320,128,12,CLEAN,100.0,0.8538,N/A,N/A,N/A
lea128,ARX-block,Korean TTA,128,128,24,R9,62.5,0.8412,0.34,False,IMMUNE
lea192,ARX-block,Korean TTA,128,192,28,R9,67.9,0.814,0,False,IMMUNE
lea256,ARX-block,Korean TTA,128,256,32,R9,71.9,0.8422,0.89,False,IMMUNE
grain128a,LFSR-NFSR,ISO/IEC 29167-13,128,128,256,CLEAN,100.0,0.7799,N/A,N/A,N/A
